"probe_id","symbol"
"1_at","A1BG"
"2_at","A2M"
"9_at","NAT1"
"10_at","NAT2"
"12_at","SERPINA3"
"13_at","AADAC"
"14_at","AAMP"
"15_at","AANAT"
"16_at","AARS1"
"18_at","ABAT"
"19_at","ABCA1"
"20_at","ABCA2"
"21_at","ABCA3"
"22_at","ABCB7"
"23_at","ABCF1"
"24_at","ABCA4"
"25_at","ABL1"
"26_at","AOC1"
"27_at_AB_22:43","ABL2"
"27_at_AB_1:21","ABL2"
"28_at","ABO"
"29_at","ABR"
"30_at_AB_1:8;25:51","ACAA1"
"30_at_AB_9:24","ACAA1"
"31_at","ACACA"
"32_at_AB_20:30","ACACB"
"32_at_AB_1:19","ACACB"
"33_at","ACADL"
"34_at_AB_1:51","ACADM"
"34_at_AB_52:62","ACADM"
"35_at","ACADS"
"36_at_AB_1:11","ACADSB"
"36_at_AB_12:21","ACADSB"
"37_at_AB_1:18","ACADVL"
"37_at_AB_19:29","ACADVL"
"38_at","ACAT1"
"39_at","ACAT2"
"40_at","ASIC2"
"41_at","ASIC1"
"43_at","ACHE"
"47_at_AB_1:8","ACLY"
"47_at_AB_9:19","ACLY"
"48_at","ACO1"
"50_at","ACO2"
"51_at_AB_11:32","ACOX1"
"51_at_AB_1:10","ACOX1"
"52_at_AB_9:20;24:32","ACP1"
"52_at_AB_1:8;21:23","ACP1"
"53_at_AB_1:20;22:55","ACP2"
"53_at_AB_21;56:68","ACP2"
"54_at","ACP5"
"55_at_AB_10:41","ACP3"
"55_at_AB_1:9;42:52","ACP3"
"56_at","ACRV1"
"58_at","ACTA1"
"59_at","ACTA2"
"60_at_AB_7:13","ACTB"
"60_at_AB_1:6","ACTB"
"70_at","ACTC1"
"71_at","ACTG1"
"72_at","ACTG2"
"81_at_AB_15:31","ACTN4"
"81_at_AB_1:14","ACTN4"
"86_at","ACTL6A"
"87_at_AB_1:15","ACTN1"
"87_at_AB_16:50","ACTN1"
"88_at","ACTN2"
"89_at","ACTN3"
"90_at_AB_1:21","ACVR1"
"90_at_AB_22:42","ACVR1"
"91_at_AB_1:32","ACVR1B"
"91_at_AB_33:54","ACVR1B"
"92_at_AB_1:21","ACVR2A"
"92_at_AB_22:32","ACVR2A"
"93_at","ACVR2B"
"94_at","ACVRL1"
"97_at","ACYP1"
"98_at","ACYP2"
"100_at","ADA"
"101_at","ADAM8"
"102_at","ADAM10"
"103_at_AB_22:58","ADAR"
"103_at_AB_1:21","ADAR"
"104_at_AB_1:3;40:50","ADARB1"
"104_at_AB_4:39","ADARB1"
"105_at","ADARB2"
"107_at","ADCY1"
"108_at_AB_1:22","ADCY2"
"108_at_AB_23:44","ADCY2"
"109_at","ADCY3"
"111_at","ADCY5"
"112_at","ADCY6"
"113_at_AB_10:31","ADCY7"
"113_at_AB_1:9","ADCY7"
"114_at","ADCY8"
"115_at","ADCY9"
"116_at","ADCYAP1"
"117_at","ADCYAP1R1"
"118_at_AB_25:42","ADD1"
"118_at_AB_1:24","ADD1"
"119_at","ADD2"
"120_at","ADD3"
"123_at","PLIN2"
"124_at","ADH1A"
"125_at","ADH1B"
"126_at","ADH1C"
"127_at","ADH4"
"128_at","ADH5"
"130_at","ADH6"
"131_at","ADH7"
"132_at_AB_1:9","ADK"
"132_at_AB_10:20","ADK"
"133_at_AB_14:30","ADM"
"133_at_AB_1:13","ADM"
"134_at","ADORA1"
"136_at","ADORA2B"
"140_at","ADORA3"
"141_at","ADPRH"
"142_at","PARP1"
"143_at","PARP4"
"146_at","ADRA1D"
"147_at","ADRA1B"
"148_at","ADRA1A"
"150_at","ADRA2A"
"151_at","ADRA2B"
"152_at","ADRA2C"
"153_at","ADRB1"
"154_at","ADRB2"
"155_at","ADRB3"
"156_at","GRK2"
"157_at","GRK3"
"158_at","ADSL"
"159_at","ADSS2"
"160_at","AP2A1"
"161_at_AB_1:19","AP2A2"
"161_at_AB_20:30","AP2A2"
"162_at","AP1B1"
"163_at_AB_6:15","AP2B1"
"163_at_AB_1:5","AP2B1"
"164_at","AP1G1"
"165_at","AEBP1"
"166_at_AB_1:9","TLE5"
"166_at_AB_10:25","TLE5"
"167_at","CRISP1"
"173_at","AFM"
"174_at","AFP"
"175_at_AB_1:14","AGA"
"175_at_AB_15:32","AGA"
"176_at","ACAN"
"177_at","AGER"
"178_at","AGL"
"181_at","AGRP"
"182_at","JAG1"
"183_at","AGT"
"185_at","AGTR1"
"186_at","AGTR2"
"187_at","APLNR"
"189_at","AGXT"
"190_at","NR0B1"
"191_at","AHCY"
"196_at_AB_10:33","AHR"
"196_at_AB_1:9","AHR"
"197_at","AHSG"
"199_at_AB_13:15;17","AIF1"
"199_at_AB_1:12;16;18:30","AIF1"
"202_at","CRYBG1"
"203_at","AK1"
"204_at_AB_8:41","AK2"
"204_at_AB_1:7","AK2"
"205_at","AK4"
"207_at","AKT1"
"208_at_AB_75:96","AKT2"
"208_at_AB_54:74","AKT2"
"208_at_AB_1:53","AKT2"
"210_at","ALAD"
"211_at","ALAS1"
"212_at","ALAS2"
"213_at","ALB"
"214_at","ALCAM"
"215_at","ABCD1"
"216_at","ALDH1A1"
"217_at","ALDH2"
"218_at","ALDH3A1"
"219_at","ALDH1B1"
"220_at","ALDH1A3"
"221_at","ALDH3B1"
"222_at","ALDH3B2"
"223_at","ALDH9A1"
"224_at_AB_12:22","ALDH3A2"
"224_at_AB_23:33","ALDH3A2"
"224_at_AB_1:11","ALDH3A2"
"225_at","ABCD2"
"226_at","ALDOA"
"229_at","ALDOB"
"230_at","ALDOC"
"238_at","ALK"
"239_at","ALOX12"
"240_at","ALOX5"
